Opening Time,Type [buy/sell],Symbol,Setup,Size / Quantity,Closing Time,Entry Price,Closing Price,Swap,Commission,Net Profit,Stop Loss (optional),Take Profit(optional),Highest price (optional),Lowest price (optional)
2024-12-26 16:55:00,Buy,XAUUSD,Default Setup,0.1,2024-12-26 17:06:00,2628.73,2631.74,0.0,0.0,30.1,2622.73,2631.73,,
2024-12-26 16:55:00,Buy,XAUUSD,Default Setup,0.1,2024-12-26 17:01:00,2628.78,2630.28,0.0,0.0,15.0,2622.77,2630.27,,
2024-12-26 14:13:00,Sell,XAUUSD,Default Setup,0.1,2024-12-26 15:47:00,2625.31,2622.31,0.0,0.0,30.0,2631.31,2622.31,,
2024-12-26 15:21:00,Sell,XAUUSD,Default Setup,0.1,2024-12-26 15:32:00,2627.71,2626.16,0.0,0.0,15.5,2633.71,2626.21,,
2024-12-24 13:26:00,Sell,XAUUSD,Default Setup,0.1,2024-12-24 19:26:00,2613.38,2619.38,0.0,0.0,-60.0,2619.38,2607.38,,
2024-12-24 13:26:00,Sell,XAUUSD,Default Setup,0.1,2024-12-24 17:00:00,2613.36,2610.36,0.0,0.0,30.0,2619.36,2610.36,,
2024-12-24 16:26:00,Buy,XAUUSD,Default Setup,0.1,2024-12-24 16:54:00,2616.8,2610.78,0.0,0.0,-60.2,2610.8,2618.3,,
2024-12-24 13:26:00,Sell,XAUUSD,Default Setup,0.1,2024-12-24 15:32:00,2613.38,2611.77,0.0,0.0,16.1,2619.38,2611.88,,
2024-12-23 14:13:00,Buy,XAUUSD,Default Setup,0.1,2024-12-23 17:05:00,2618.79,2612.77,0.0,0.0,-60.2,2612.79,2620.29,,
2024-12-23 13:21:00,Sell,XAUUSD,Default Setup,0.1,2024-12-23 13:47:00,2617.06,2614.05,0.0,0.0,30.1,2623.06,2614.06,,
2024-12-23 13:21:00,Sell,XAUUSD,Default Setup,0.1,2024-12-23 13:30:00,2617.08,2615.57,0.0,0.0,15.1,2623.08,2615.58,,
2024-12-20 16:50:00,Buy,XAUUSD,Default Setup,0.1,2024-12-20 17:15:00,2616.81,2623.11,0.0,0.0,63.0,2610.81,2622.81,,
2024-12-20 16:34:00,Buy,XAUUSD,Default Setup,0.1,2024-12-20 17:09:00,2617.72,2620.72,0.0,0.0,30.0,2611.72,2620.72,,
2024-12-20 16:34:00,Buy,XAUUSD,Default Setup,0.1,2024-12-20 17:05:00,2617.69,2619.24,0.0,0.0,15.5,2611.69,2619.19,,
2024-12-20 15:47:00,Buy,XAUUSD,Default Setup,0.1,2024-12-20 16:34:00,2611.43,2617.48,0.0,0.0,60.5,2605.45,2617.45,,
2024-12-20 15:47:00,Buy,XAUUSD,Default Setup,0.1,2024-12-20 16:11:00,2611.39,2614.39,0.0,0.0,30.0,2605.39,2614.39,,
2024-12-20 16:05:00,Buy,XAUUSD,Default Setup,0.1,2024-12-20 16:10:00,2612.25,2613.73,0.0,0.0,14.8,2606.22,2613.72,,
2024-12-20 15:47:00,Buy,XAUUSD,Default Setup,0.1,2024-12-20 15:49:00,2611.43,2612.96,0.0,0.0,15.3,2605.45,2612.95,,
2024-12-20 13:13:00,Sell,XAUUSD,Default Setup,0.1,2024-12-20 15:31:00,2601.78,2607.81,0.0,0.0,-60.3,2607.78,2598.78,,
2024-12-19 16:59:00,Sell,XAUUSD,Default Setup,0.1,2024-12-19 17:21:00,2592.53,2591.01,0.0,0.0,15.2,2598.53,2591.03,,
2024-12-19 16:10:00,Buy,XAUUSD,Default Setup,0.1,2024-12-19 16:51:00,2599.01,2593.01,0.0,0.0,-60.0,2593.01,2602.01,,
2024-12-19 16:10:00,Buy,XAUUSD,Default Setup,0.1,2024-12-19 16:38:00,2598.98,2600.5,0.0,0.0,15.2,2592.98,2600.48,,
2024-12-19 15:47:00,Buy,XAUUSD,Default Setup,0.1,2024-12-19 15:51:00,2604.19,2597.55,0.0,0.0,-66.4,2598.19,2610.19,,
2024-12-19 15:30:00,Sell,XAUUSD,Default Setup,0.1,2024-12-19 15:34:00,2600.2,2598.71,0.0,0.0,14.9,2606.21,2598.71,,
2024-12-19 15:02:00,Sell,XAUUSD,Default Setup,0.1,2024-12-19 15:18:00,2603.63,2602.13,0.0,0.0,15.0,2609.63,2602.13,,
2024-12-19 14:53:00,Sell,XAUUSD,Default Setup,0.1,2024-12-19 15:05:00,2606.04,2603.04,0.0,0.0,30.0,2612.04,2603.04,,
2024-12-19 14:53:00,Sell,XAUUSD,Default Setup,0.1,2024-12-19 14:55:00,2606.04,2604.54,0.0,0.0,15.0,2612.04,2604.54,,
2024-12-19 14:40:00,Sell,XAUUSD,Default Setup,0.1,2024-12-19 14:54:00,2610.95,2604.91,0.0,0.0,60.4,2616.95,2604.95,,
2024-12-19 14:21:00,Sell,XAUUSD,Default Setup,0.1,2024-12-19 14:43:00,2612.38,2609.37,0.0,0.0,30.1,2618.38,2609.38,,
2024-12-19 14:21:00,Sell,XAUUSD,Default Setup,0.1,2024-12-19 14:40:00,2612.04,2610.53,0.0,0.0,15.1,2618.04,2610.54,,
2024-12-19 13:26:00,Sell,XAUUSD,Default Setup,0.1,2024-12-19 14:19:00,2619.08,2613.04,0.0,0.0,60.4,2625.08,2613.08,,
